country,first_name,last_name,date_of_birth,sales_team
MENA,Khalid,Al-Farabi,1976-06-19,MENA_ECOM
MENA,Layla,Al-Hallaj,1984-08-28,MENA_ECOM
FR,Claude,Debussy,1988-03-07,LCS_FR_LUXURY
FR,Édith,Piaf,1981-06-19,LCS_FR_LUXURY
FR,Maurice,Ravel,1979-12-10,LCS_FR_LUXURY
FR,Camille,Saint-Saëns,1982-09-15,LCS_FR_LUXURY
FR,Hector,Berlioz,1973-10-25,LCS_FR_LUXURY
FR,Léo,Delibes,1984-08-28,LCS_FR_LUXURY
FR,Charlotte,Bizet,1976-11-12,LCS_FR_LUXURY
FR,Georges,Bizet,1985-05-03,LCS_FR_LUXURY
FR,Élisabeth,Satie,1977-04-20,LCS_FR_LUXURY
FR,Jean,Franck,1987-02-01,LCS_FR_LUXURY
IT,Antonio,Vivaldi,1975-09-18,LCS_IT_FASHION
IT,Giuseppe,Verdi,1980-04-27,LCS_IT_FASHION
IT,Isabella,Puccini,1983-11-09,LCS_IT_FASHION
IT,Leonardo,Rossini,1977-08-12,LCS_IT_FASHION
IT,Maria,Monteverdi,1986-06-22,LCS_IT_FASHION
IT,Francesco,Corelli,1982-03-15,LCS_IT_FASHION
IT,Sofia,Scarlatti,1976-10-06,LCS_IT_FASHION
IT,Luca,Bellini,1984-01-31,LCS_IT_FASHION
IT,Paolo,Donizetti,1979-05-14,LCS_IT_FASHION
IT,Laura,Albinoni,1988-12-03,LCS_IT_FASHION
IT,Alessandro,Paganini,1976-11-08,LCS_IT_FASHION
IT,Giorgio,Rossellini,1980-02-22,LCS_IT_FASHION
IT,Isadora,Rossellini,1983-03-15,LCS_IT_FASHION
IT,Marco,Belcanto,1977-06-30,LCS_IT_FASHION
IT,Adriana,Montemarano,1986-05-14,LCS_IT_FASHION
IT,Franco,DellaTorre,1982-01-12,LCS_IT_FASHION
IT,Silvia,Marcellini,1976-10-11,LCS_IT_FASHION
IT,Lorenzo,Bellucci,1984-01-25,LCS_IT_FASHION
IT,Giulia,DiMarco,1979-05-03,LCS_IT_FASHION
IT,Vittorio,DeSantis,1988-12-01,LCS_IT_FASHION
ES,Javi,Sanz,1980-06-15,SMB_ES_RETAIL
ES,Rosalía,Almodóvar,1976-09-20,SMB_ES_RETAIL
ES,Maluma,Cervantes,1982-04-08,SMB_ES_RETAIL
ES,Bad,Molina,1989-02-26,SMB_ES_RETAIL
ES,Becky G,Lopez,1984-08-10,SMB_ES_RETAIL
ES,Ozuna,Hernandez,1977-10-19,SMB_ES_RETAIL
ES,Daddy,Ramirez,1985-11-05,SMB_ES_RETAIL
ES,Anitta,Ruiz,1983-12-14,SMB_ES_RETAIL
ES,Natti,Rios,1978-07-29,SMB_ES_RETAIL
ES,Wisin,Soto,1987-05-06,SMB_ES_RETAIL
ES,Enrique,Alcala,1986-02-11,SMB_ES_RETAIL
ES,Rosario,Montoya,1979-04-28,SMB_ES_RETAIL
ES,Chayanne,Delgado,1984-09-03,SMB_ES_RETAIL
ES,Camilo,Salazar,1977-03-19,SMB_ES_RETAIL
ES,Shakira,Ramírez,1982-12-02,SMB_ES_RETAIL
ES,Ricky,Alvarez,1988-05-17,SMB_ES_RETAIL
ES,Anuel,Lopez,1981-11-24,SMB_ES_RETAIL
ES,Natalia,Valencia,1976-08-21,SMB_ES_RETAIL
ES,Romeo,Molina,1983-10-30,SMB_ES_RETAIL
ES,Daniela,Montes,1986-09-14,SMB_ES_RETAIL
ES,Farruko,García,1980-01-07,SMB_ES_RETAIL
ES,Aitana,Torres,1979-07-09,SMB_ES_RETAIL
ES,Malú,Jimenez,1989-06-18,SMB_ES_RETAIL
ES,Piso21,Herrera,1978-04-12,SMB_ES_RETAIL
ES,Karol G,Jimenez,1987-07-26,SMB_ES_RETAIL
ES,Lali,Martínez,1984-09-30,SMB_ES_RETAIL
ES,Nicky Jam,Rivera,1982-03-17,SMB_ES_RETAIL
ES,Anayka,Herrera,1986-07-23,SMB_ES_RETAIL
ES,Lérica,Lopez,1973-09-11,SMB_ES_RETAIL
ES,Paloma Mami,Gonzalez,1977-06-26,SMB_ES_RETAIL
ES,Arcángel,Ramírez,1984-10-25,SMB_ES_RETAIL
ES,Sofía Reyes,Gomez,1986-04-10,SMB_ES_RETAIL
ES,Yandel,Rosario,1979-11-22,SMB_ES_RETAIL
ES,María Becerra,Flores,1988-07-01,SMB_ES_RETAIL
ES,Nio García,Sanchez,1981-10-15,SMB_ES_RETAIL
ES,Alejandro,Tejedor,1989-04-03,SMB_ES_RETAIL
ES,Carlito,Alcaraz,2003-05-05,SMB_ES_RETAIL
